story_id,lane,length,violation_count,categories,markers
1302,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1303,web,short,0,,
1304,web,short,2,WEB_ARCHAIC_BLEED;WEB_CONTRACTION,\btherein\b;\bcan['’]t\b
1305,web,short,0,,
1306,web,short,0,,
1307,web,short,0,,
1308,web,short,0,,
1309,web,short,0,,
1310,web,short,0,,
1311,web,short,0,,
1312,web,short,0,,
1313,web,short,0,,
1314,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1315,web,short,0,,
1316,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1317,web,short,2,WEB_CONTRACTION,\bisn['’]t\b;\baren['’]t\b
1318,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1319,web,short,0,,
1320,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1321,web,short,0,,
1322,web,short,0,,
1323,web,short,0,,
1324,web,short,0,,
1325,web,short,0,,
1326,web,short,0,,
1327,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1328,web,short,0,,
1329,web,short,0,,
1330,web,short,0,,
